Latitude,Longtitude,State,LGA,Population,Number of households,Number of households offgrid,Number of people owning mobile phones,Number of households owning radios,Number of ABC1 consumers,Median annual household spending per capita,"Number of households spending over 110,000 N annually per capita","Number of households spending over 5,000 N monthly on energy","Number of households spending over 10,000 N monthly on energy","Number of households spending over 250,000 N annually on discretionary expenses",Number of households with generators,Number of households with televisions,Proportion of households offgrid,Proportion of people owning mobile phones,Proportion of households owning radios,Proportion of ABC1 consumers,"Proportion of households spending over 110,000 N annually per capita","Proportion of households spending over 5,000 N monthly on energy","Proportion of households spending over 10,000 N monthly on energy","Proportion of households spending over 250,000 N annually on discretionary expenses",Proportion of households with generators,Proportion of households with televisions
6.64583333266667,3.31250000031541,Lagos,Agege,33240.9998198342,7029.27783203125,161.441169534474,32197.104789085,5522.89529477142,21718.8797939042,193884.049035826,6217.8757405174,3060.21789704371,753.541807542652,6073.51532969967,3872.25892941008,6785.41149619748,2.29669638037087%,96.8596160271741%,78.5698819529441%,65.3376249559889%,88.4568214416504%,43.5353100299835%,10.7200458645821%,86.4031195640564%,55.0875782966614%,96.5307056903839%
6.61249999933333,3.32916666698161,Lagos,Agege,53768.9967637485,11276.4482421875,396.068420015469,50031.6734557073,8735.4166755833,29289.559180404,452286.691464497,10598.2072120606,6040.87894500734,3015.0621069049,10665.1498855068,5906.35910862976,10213.494191446,3.51235079972873%,93.0492969313481%,77.4660290897476%,54.4729508513934%,93.9853310585022%,53.5707592964172%,26.7376929521561%,94.5789813995361%,52.3778319358826%,90.5736804008484%
6.63749999933333,3.3041666669823,Lagos,Agege,16379.0017294135,3430.693359375,65.1265314273356,15838.5260588283,2679.21251633449,10555.5805097387,239258.625562565,2859.84024566773,1043.14034510491,113.935620613593,2997.66637752531,1812.26594444888,3339.27004492027,1.8983489518049%,96.7001916263639%,78.0953654459689%,64.4458110702983%,83.3604156970978%,30.4061084985733%,3.32106687128544%,87.3778581619263%,52.8250634670258%,97.3351359367371%
6.62083333266667,3.32916666698161,Lagos,Agege,60421.9982461885,12628.66796875,478.58761893519,56545.0818790194,9758.32313325913,28234.9577096793,437439.696193156,11473.2436556015,6503.16540507344,2676.45447049261,11349.5765872439,6674.59979314776,11413.2490341391,3.7896919937991%,93.5836012053546%,77.2711988105664%,46.7295993665029%,90.8507823944092%,51.4952600002289%,21.1934819817543%,89.8715257644653%,52.8527617454529%,90.3757154941559%
6.629166666,3.32083333364851,Lagos,Agege,37985.9999516587,7875.4716796875,284.150671601087,36040.9968559795,5979.82652991738,20555.4084903683,411437.673704992,7043.64161957719,3615.76101676229,1177.44648473495,6228.9606864063,3385.36477533955,6844.59054420649,3.60804638957653%,94.8796843622534%,75.9297572657218%,54.1131167180733%,89.4377112388611%,45.9116756916046%,14.9508059024811%,79.0931761264801%,42.9861843585968%,86.9102299213409%
6.62083333266667,3.32083333364851,Lagos,Agege,45952.00128886,9519.64453125,369.924849103486,43338.7054218413,7248.36916070482,23986.0737642213,454820.920418137,8655.74493357958,4980.91893681698,2263.46437611891,8312.0900202524,4841.2593730723,8686.00460975035,3.88591031828068%,94.3129879140819%,76.1411745670829%,52.1981047429073%,90.9250855445862%,52.32253074646%,23.7767741084099%,87.3151302337647%,50.8554637432098%,91.2429511547089%
6.629166666,3.3041666669823,Lagos,Agege,32404.0013842785,6701.603515625,185.689658909188,31382.2220433035,5154.18559254559,20479.8594902009,333400.182860714,6014.38942644989,2976.5731294349,494.208735099325,6052.24459047546,3460.65718896768,6327.7369856782,2.77082430311263%,96.8467494836277%,76.90973631204%,63.2016374994266%,89.7455275058746%,44.4158345460892%,7.37448483705521%,90.3103947639465%,51.6392409801483%,94.4212377071381%
6.63749999933333,3.31250000031541,Lagos,Agege,45114.9991296403,9321.54296875,253.653532345703,43428.2667339029,7226.20606463438,26734.8983174346,272183.205323338,8105.00976464246,3676.15902824502,968.276422096677,7866.32644293131,4592.60791921406,8675.78009971534,2.72115392479618%,96.2612602720207%,77.5215657843328%,59.2594454908677%,86.9492292404175%,39.4372373819351%,10.3875122964382%,84.3886733055115%,49.2687523365021%,93.0723607540131%
6.61249999933333,3.32083333364851,Lagos,Agege,64491.9983165789,13299.8232421875,383.207434661813,60600.1074353081,10190.7043872896,37510.6008665767,472897.786904389,12510.7916789582,7008.79690803308,2701.30284767686,12598.5716018864,6119.08134275197,12228.7061945429,2.88129719984748%,93.9653120032562%,76.6228558208531%,58.1631858923712%,94.0673530101776%,52.6984214782715%,20.3108176589012%,94.72736120224%,46.0087418556213%,91.9463813304901%
6.629166666,3.31250000031541,Lagos,Agege,41741.0007968256,8565.7421875,288.760165186043,40025.3858451811,6549.59670877927,24039.5248881569,398471.905233971,7683.35752492538,3665.0971655536,1387.35385952867,7390.1471172017,3982.93536050362,7767.23608096829,3.37110502353703%,95.8898566903194%,76.4626878256633%,57.5921142982875%,89.6986782550812%,42.7878528833389%,16.1965399980545%,86.2756192684173%,46.4984267950058%,90.6779110431671%
